Device ID,In Service,Activation State,Location,Product,Configuration Pending,Provider,Encryption,Firmware Version,Firmware Update Available,Last Received,Comm Status,Commissioned,Key Date,Key Pending Rotation,Latitude,Longitude,Radio Identifiers,Radio Model,Rx Frequency,SSI,Tx Frequency
47241,true,,DOWN-005CFCI20-21,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:18.292,Normal,2020-03-29 11:43:28.363,2025-09-17 09:39:57.000,No,40.01386,-75.695552,FlexNetId: 50530759,FlexNet900,930.5125 MHz,43,901.8375 MHz
47472,true,,BRADFORD-341CFCI9,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:59.209,Normal,2020-05-21 12:03:12.363,2025-09-17 09:34:06.000,No,39.974697,-75.682187,FlexNetId: 50530723,FlexNet900,930.5375 MHz,29,901.8875 MHz
30574,true,,PALOMINO-003CFCI81,NaviComm,Yes,FlexNet,Enabled,4110005,No,2026-07-29 09:16:42.802,Normal,2019-10-03 17:57:25.823,2025-09-17 09:34:21.000,No,40.235087,-75.136857,FlexNetId: 50402567,FlexNet900,930.5375 MHz,52,901.8875 MHz
49338,true,,WOODBOUR-343CFCI55,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-08 23:39:48.511,Missing,2023-04-04 12:18:42.850,2025-09-17 09:59:00.000,No,40.2001,-74.9293,FlexNetId: 50531019,FlexNet900,930.5125 MHz,11,901.8375 MHz
49346,true,,WOODBOUR-343CFCI54,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:18:29.910,Normal,2021-05-18 08:58:38.503,2025-09-17 09:34:23.000,No,40.19172522,-74.92736515,FlexNetId: 50531178,FlexNet900,930.5375 MHz,16,901.8375 MHz
47248,true,,BRADFORD-343CFCI24,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:21:45.849,Normal,2020-03-29 11:43:04.782,2025-09-17 10:18:48.000,No,39.96929,-75.62672,FlexNetId: 50530607,FlexNet900,930.5375 MHz,13,901.8375 MHz
47250,true,,BRADFORD-351CFCI27,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:06.551,Normal,2020-03-29 11:43:05.194,2025-09-17 09:58:59.000,No,39.97735,-75.68063,FlexNetId: 50530745,FlexNet900,930.5125 MHz,34,901.8625 MHz
47259,true,,BRADFORD-341CFCI10,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:40.820,Normal,2020-03-29 11:43:06.993,2025-09-17 09:55:41.000,No,39.99019,-75.694168,FlexNetId: 50530766,FlexNet900,930.5125 MHz,47,901.8625 MHz
47471,true,,BRADFORD-341CFCI18,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:10:35.197,Normal,2020-05-21 12:03:07.362,2025-09-17 09:34:02.000,No,40.046815,-75.71829,FlexNetId: 50530796,FlexNet900,930.5125 MHz,17,901.8625 MHz
42333,true,,COOPER-372CFCI7,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:20:01.164,Normal,2018-06-08 11:17:18.668,2025-09-17 10:18:45.000,No,39.7353,-76.3094,FlexNetId: 50408489,FlexNet900,930.5375 MHz,28,901.8875 MHz
49368,true,,WOODBOUR-342CFCI48,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:15:07.041,Normal,2021-05-18 08:58:32.685,2025-09-17 09:34:22.000,No,40.22238302,-74.87532322,FlexNetId: 50531322,FlexNet900,930.5125 MHz,24,901.8375 MHz
47247,true,,BRADFORD-351CFCI29,NaviComm,No,FlexNet,Enabled,4110005,No,2026-07-29 09:16:00.754,Normal,2020-03-29 11:43:04.603,2025-09-17 09:34:19.000,No,40.001982,-75.690683,FlexNetId: 50530601,FlexNet900,930.5125 MHz,65,901.8875 MHz
