Device ID - Session,Description,Radio Comms Up,Radio Comms Up (time),Time Synchronized,Time Synchronized (time),Network Data Overage Alarm,Network Data Overage Alarm (time),Local Port Connected,Local Port Connected (time),Session 0 online,Session 0 online (time),Session 1 online,Session 1 online (time),Thread(s) at Critical Stack Usage,Thread(s) at Critical Stack Usage (time),User Configuration Issue,User Configuration Issue (time),AC Outage,AC Outage (time),Battery Fuse Status,Battery Fuse Status (time),Programmable Logic Point 1,Programmable Logic Point 1 (time),Programmable Logic Point 2,Programmable Logic Point 2 (time),Programmable Logic Point 3,Programmable Logic Point 3 (time),Programmable Logic Point 4,Programmable Logic Point 4 (time),Programmable Logic Point 5,Programmable Logic Point 5 (time),Programmable Logic Point 6,Programmable Logic Point 6 (time),Programmable Logic Point 7,Programmable Logic Point 7 (time),Programmable Logic Point 8,Programmable Logic Point 8 (time),Programmable Logic Point 9,Programmable Logic Point 9 (time),Programmable Logic Point 10,Programmable Logic Point 10 (time),CommLost Status,CommLost Status (time),Unit ID,Unit ID (time),Primary Radio ID,Primary Radio ID (time),RTM FW Version Number,RTM FW Version Number (time),Average Radio RX Signal,Average Radio RX Signal (time),Average Radio TX Signal,Average Radio TX Signal (time),RF Comms State,RF Comms State (time),Recent Highest Transmit Count,Recent Highest Transmit Count (time),Last Radio Received SSI Value,Last Radio Received SSI Value (time),Last Base Station Received SSI Value,Last Base Station Received SSI Value (time),Today's Since Reset IED TX/RX (KB),Today's Since Reset IED TX/RX (KB) (time),Today's Total IED TX/RX (KB),Today's Total IED TX/RX (KB) (time),Yesterday's Total IED TX/RX (KB),Yesterday's Total IED TX/RX (KB) (time),Today's Bulk TX/RX (KB),Today's Bulk TX/RX (KB) (time),Yesterday's Bulk TX/RX (KB),Yesterday's Bulk TX/RX (KB) (time),Today's Total TX/RX (KB),Today's Total TX/RX (KB) (time),Yesterday's Total TX/RX (KB),Yesterday's Total TX/RX (KB) (time),Month's Total TX/RX (KB),Month's Total TX/RX (KB) (time),Last Cell Radio Received RSRP,Last Cell Radio Received RSRP (time),Last Cell Radio Received RSRQ,Last Cell Radio Received RSRQ (time),Today's Percent Successful TX (Session 0),Today's Percent Successful TX (Session 0) (time),Today's Percent Successful TX (Session 1),Today's Percent Successful TX (Session 1) (time),Dynamic Memory Bytes Total,Dynamic Memory Bytes Total (time),Dynamic Memory Bytes Used,Dynamic Memory Bytes Used (time),Dynamic Memory Bytes Free,Dynamic Memory Bytes Free (time),Dynamic Memory Number of Blocks,Dynamic Memory Number of Blocks (time),Dynamic Memory Largest Block Size,Dynamic Memory Largest Block Size (time),Line Voltage Present Value (VAC),Line Voltage Present Value (VAC) (time),Line Voltage Maximum Value (VAC),Line Voltage Maximum Value (VAC) (time),Line Voltage Minimum Value (VAC),Line Voltage Minimum Value (VAC) (time),Present Battery State,Present Battery State (time),Last Test Battery Condition,Last Test Battery Condition (time),Battery Test Voltage (VDC),Battery Test Voltage (VDC) (time),Board Temperature (deg C),Board Temperature (deg C) (time),Programmable Math Point 1,Programmable Math Point 1 (time),Programmable Math Point 2,Programmable Math Point 2 (time),Programmable Math Point 3,Programmable Math Point 3 (time),Programmable Math Point 4,Programmable Math Point 4 (time),Programmable Math Point 5,Programmable Math Point 5 (time),Programmable Math Point 6,Programmable Math Point 6 (time),Programmable Math Point 7,Programmable Math Point 7 (time),Programmable Math Point 8,Programmable Math Point 8 (time),Programmable Math Point 9,Programmable Math Point 9 (time),Programmable Math Point 10,Programmable Math Point 10 (time),Flag Count,Flag Count (time),"PV Report Date (MMDD, deprecated)","PV Report Date (MMDD, deprecated) (time)","PV Report Time (HHMM, deprecated)","PV Report Time (HHMM, deprecated) (time)",Report Time (Epoch milliseconds),Report Time (Epoch milliseconds) (time),Inbound Retries,Inbound Retries (time),Inbound SSI,Inbound SSI (time),Outbound SSI,Outbound SSI (time),CommLost Diagnostic,CommLost Diagnostic (time)
51745-0,,Yes,2023-01-05 17:27:32.606,Yes,2023-01-05 17:27:32.606,,,,,Online,2023-01-05 17:27:32.606,Online,2023-01-05 17:27:32.606,,,Normal,2023-01-05 17:27:32.606,Normal,2023-01-05 17:27:32.606,Fuse Blown,2023-01-05 17:27:32.606,,,,,,,,,,,,,,,,,,,,,Alarm,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,354595119600000,2023-01-05 17:27:32.606,470001,2023-01-05 17:27:32.606,-49,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,-49,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,1,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,,,,,,,100,2023-01-05 17:27:32.606,100,2023-01-05 17:27:32.606,,,,,,,,,,,124.85294342,2023-01-05 17:27:32.606,126.51515198,2023-01-05 17:27:32.606,124.55882263,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,0,2023-01-05 17:27:32.606,23.891626358,2023-01-05 17:27:32.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-01-05 17:11:33.901,0,2023-01-05 17:11:33.901,-49,2023-01-05 17:11:33.901,2,2023-01-05 17:27:32.606
51930-0,,Yes,2023-04-20 15:25:14.617,Yes,2023-04-20 15:25:14.617,,,,,Online,2023-04-20 15:25:14.617,Online,2023-04-20 15:25:14.617,,,Normal,2023-04-20 15:25:14.617,AC Voltage Not Present,2023-04-20 15:25:14.617,Normal,2023-04-20 15:25:14.617,,,,,,,,,,,,,,,,,,,,,Alarm,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,354595119600000,2023-04-20 15:25:14.617,480004,2023-04-20 15:25:14.617,-56,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,-56,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,14,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,1,2023-04-20 15:25:14.617,23,2023-04-20 15:25:14.617,,,,,,,100,2023-04-20 15:25:14.617,100,2023-04-20 15:25:14.617,,,,,,,,,,,124.41176605,2023-04-20 15:25:14.617,125.90908813,2023-04-20 15:25:14.617,124.26470947,2023-04-20 15:25:14.617,3,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,0,2023-04-20 15:25:14.617,27.093595505,2023-04-20 15:25:14.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-04-20 15:09:10.465,0,2023-04-20 15:09:10.465,-56,2023-04-20 15:09:10.465,2,2023-04-20 15:25:14.617
52577-0,,Yes,2024-02-20 11:45:56.639,Yes,2024-02-20 11:45:56.639,,,,,Online,2024-02-20 11:45:56.639,Online,2024-02-20 11:45:56.639,,,Normal,2024-02-20 11:45:56.639,AC Voltage Not Present,2024-02-20 11:45:56.639,Normal,2024-02-20 11:45:56.639,,,,,,,,,,,,,,,,,,,,,Alarm,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,50533542,2024-02-20 11:45:56.639,480005,2024-02-20 11:45:56.639,20.857141495,2024-02-20 11:45:56.639,23.666667938,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,15,2024-02-20 11:45:56.639,22,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,1,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,,,,,,,100,2024-02-20 11:45:56.639,100,2024-02-20 11:45:56.639,,,,,,,,,,,122.20587921,2024-02-20 11:45:56.639,126.96969604,2024-02-20 11:45:56.639,115.68965149,2024-02-20 11:45:56.639,3,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,0,2024-02-20 11:45:56.639,24.384237289,2024-02-20 11:45:56.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-02-20 11:45:07.013,34,2024-02-20 11:45:07.013,24,2024-02-20 11:45:07.013,2,2024-02-20 11:45:56.639
30312-0,FlexNet ID: 50402153,Yes,2019-10-07 11:59:25.015,Yes,2019-10-07 11:59:25.015,,,,,Online,2019-10-07 11:59:25.015,Online,2019-10-07 11:59:25.015,,,Normal,2019-10-07 11:59:25.015,Normal,2019-10-07 11:59:25.015,Fuse Blown,2019-10-07 11:59:25.015,,,,,,,,,,,,,,,,,,,,,Alarm,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,50402153,2019-10-07 11:59:25.015,2080,2019-10-07 11:59:25.015,27.199998856,2019-10-07 11:59:25.015,30.400003433,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,33,2019-10-07 11:59:25.015,30,2019-10-07 11:59:25.015,1,2019-10-07 11:59:25.015,1,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,3,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,,,,,,,100,2019-10-07 11:59:25.015,100,2019-10-07 11:59:25.015,,,,,,,,,,,125.75757599,2019-10-07 11:59:25.015,126.96969604,2019-10-07 11:59:25.015,117.41379547,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,0,2019-10-07 11:59:25.015,27.832511902,2019-10-07 11:59:25.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2019-10-07 11:59:25.015,27,2019-10-07 11:59:25.015,29,2019-10-07 11:59:25.015,2,2019-10-07 11:59:25.015
30574-0,FlexNet ID: 50402567,Yes,2026-09-08 21:31:43.947,Yes,2026-09-08 21:31:43.947,,,,,Online,2026-09-08 21:31:43.947,Online,2026-09-08 21:31:43.947,,,Normal,2026-09-08 21:31:43.947,Normal,2026-09-08 21:31:43.947,Normal,2026-09-08 21:31:43.947,,,,,,,,,,,,,,,,,,,,,Normal,2025-12-03 21:57:17.639,0,2025-12-03 21:57:17.639,50402567,2025-12-03 21:57:17.639,4110005,2025-12-03 21:57:17.639,56.5,2026-09-08 21:31:43.947,49.5,2026-09-08 21:31:43.947,0,2026-09-08 21:31:43.947,0,2026-09-08 21:31:43.947,62,2026-09-08 21:31:43.947,51,2026-09-08 21:31:43.947,25,2026-09-08 21:31:43.947,25,2026-09-08 21:31:43.947,28,2026-09-08 21:31:43.947,0,2026-09-08 21:31:43.947,0,2026-09-08 21:31:43.947,39,2026-09-08 21:31:43.947,43,2026-09-08 21:31:43.947,,,,,,,100,2026-09-08 21:31:43.947,100,2026-09-08 21:31:43.947,,,,,,,,,,,126.66666412,2026-09-08 21:31:43.947,131.21212769,2026-09-08 21:31:43.947,83.513511658,2026-09-08 21:31:43.947,1,2026-09-08 21:31:43.947,4,2026-09-08 21:31:43.947,12.109092712,2026-09-08 21:31:43.947,24.384237289,2026-09-09 03:31:43.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:46:42.986,44,2026-09-09 08:46:42.986,51,2026-09-09 08:46:42.986,0,2025-12-03 21:57:17.639
42334-0,FlexNet ID: 50408386,Yes,2026-09-09 02:00:37.387,Yes,2026-09-09 02:00:37.387,,,,,Online,2026-09-09 02:00:37.387,Online,2026-09-09 02:00:37.387,,,Normal,2026-09-09 02:00:37.387,Normal,2026-09-09 02:00:37.387,Fuse Blown,2026-09-09 02:00:37.387,,,,,,,,,,,,,,,,,,,,,Normal,2026-05-05 21:37:32.242,0,2026-08-28 02:00:52.129,50408386,2026-08-28 02:00:52.129,4110005,2026-08-28 02:00:52.129,57.099998474,2026-09-09 02:00:37.387,65.799995422,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,63,2026-09-09 02:00:37.387,66,2026-09-09 02:00:37.387,1,2026-09-09 02:00:37.387,1,2026-09-09 02:00:37.387,26,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,2,2026-09-09 02:00:37.387,42,2026-09-09 02:00:37.387,,,,,,,100,2026-09-09 02:00:37.387,100,2026-09-09 02:00:37.387,,,,,,,,,,,128.48484802,2026-09-09 02:00:37.387,130.30302429,2026-09-09 02:00:37.387,118.62068939,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,0,2026-09-09 02:00:37.387,27.33990097,2026-09-09 08:00:36.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:45:36.076,68,2026-09-09 08:45:36.076,58,2026-09-09 08:45:36.076,0,2026-05-05 21:37:32.242
42333-0,FlexNet ID: 50408489,Yes,2026-09-08 21:50:07.936,Yes,2026-09-08 21:50:07.936,,,,,Online,2026-09-08 21:50:07.936,Online,2026-09-08 21:50:07.936,,,Normal,2026-09-08 21:50:07.936,Normal,2026-09-08 21:50:07.936,Fuse Blown,2026-09-08 21:50:07.936,,,,,,,,,,,,,,,,,,,,,Normal,2026-05-05 21:28:17.761,0,2026-06-14 21:50:24.535,50408489,2026-06-14 21:50:24.535,4110005,2026-06-14 21:50:24.535,19,2026-09-08 21:50:07.936,21.70000267,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,13,2026-09-08 21:50:07.936,19,2026-09-08 21:50:07.936,25,2026-09-08 21:50:07.936,25,2026-09-08 21:50:07.936,28,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,39,2026-09-08 21:50:07.936,44,2026-09-08 21:50:07.936,,,,,,,100,2026-09-08 21:50:07.936,100,2026-09-08 21:50:07.936,,,,,,,,,,,129.69697571,2026-09-08 21:50:07.936,133.48484802,2026-09-08 21:50:07.936,80.810813904,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,0,2026-09-08 21:50:07.936,23.645320892,2026-09-09 03:50:04.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:50:01.470,17,2026-09-09 08:50:01.470,13,2026-09-09 08:50:01.470,0,2026-05-05 21:28:17.761
42551-0,FlexNet ID: 50408490,Yes,2026-09-08 21:50:12.092,Yes,2026-09-08 21:50:12.092,,,,,Online,2026-09-08 21:50:12.092,Online,2026-09-08 21:50:12.092,,,Normal,2026-09-08 21:50:12.092,Normal,2026-09-08 21:50:12.092,Fuse Blown,2026-09-08 21:50:12.092,,,,,,,,,,,,,,,,,,,,,Normal,2026-09-08 18:50:03.113,0,2026-09-08 18:50:10.217,50408490,2026-09-08 18:50:10.217,4110005,2026-09-08 18:50:10.217,48.400001526,2026-09-08 21:50:12.092,33.799999237,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,44,2026-09-08 21:50:12.092,43,2026-09-08 21:50:12.092,30,2026-09-08 21:50:12.092,30,2026-09-08 21:50:12.092,28,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,50,2026-09-08 21:50:12.092,47,2026-09-08 21:50:12.092,,,,,,,100,2026-09-08 21:50:12.092,100,2026-09-08 21:50:12.092,,,,,,,,,,,127.72727203,2026-09-08 21:50:12.092,130.90908813,2026-09-08 21:50:12.092,72.407409668,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,0,2026-09-08 21:50:12.092,24.630542755,2026-09-09 03:50:11.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:50:04.837,39,2026-09-09 08:50:04.837,26,2026-09-09 08:50:04.837,0,2026-09-08 18:50:03.113
42332-0,FlexNet ID: 50408608,Yes,2025-07-01 00:43:20.637,Yes,2025-07-01 00:43:20.637,,,,,Online,2025-07-01 00:43:20.637,Online,2025-07-01 00:43:20.637,,,Normal,2025-07-01 00:43:20.637,Normal,2025-07-01 00:43:20.637,Normal,2025-07-01 00:43:20.637,,,,,,,,,,,,,,,,,,,,,Alarm,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,50408608,2025-07-01 00:43:20.637,4110005,2025-07-01 00:43:20.637,17.299999237,2025-07-01 00:43:20.637,20.100000381,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,12,2025-07-01 00:43:20.637,22,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,20,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,29,2025-07-01 00:43:20.637,,,,,,,100,2025-07-01 00:43:20.637,100,2025-07-01 00:43:20.637,,,,,,,,,,,129.39393616,2025-07-01 00:43:20.637,130.45454407,2025-07-01 00:43:20.637,116.55172729,2025-07-01 00:43:20.637,1,2025-07-01 00:43:20.637,9,2025-07-01 00:43:20.637,0,2025-07-01 00:43:20.637,30.295566559,2025-07-01 00:43:20.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-07-01 00:27:18.347,28,2025-07-01 00:27:18.347,17,2025-07-01 00:27:18.347,2,2025-07-01 00:43:20.637
42331-0,FlexNet ID: 50408609,Yes,2026-09-09 02:00:25.557,Yes,2026-09-09 02:00:25.557,,,0,2026-08-28 02:00:46.129,Online,2026-09-09 02:00:25.557,Online,2026-09-09 02:00:25.557,,,Normal,2026-09-09 02:00:25.557,Normal,2026-09-09 02:00:25.557,Fuse Blown,2026-09-09 02:00:25.557,,,,,,,,,,,,,,,,,,,,,Normal,2026-08-05 15:39:17.440,0,2026-08-28 02:00:46.129,50408609,2026-08-28 02:00:46.129,4110005,2026-08-28 02:00:46.129,55.700000763,2026-09-09 02:00:25.557,56.100006104,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,57,2026-09-09 02:00:25.557,55,2026-09-09 02:00:25.557,1,2026-09-09 02:00:25.557,1,2026-09-09 02:00:25.557,28,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,3,2026-09-09 02:00:25.557,44,2026-09-09 02:00:25.557,,,,,,,100,2026-09-09 02:00:25.557,100,2026-09-09 02:00:25.557,,,,,,,,,,,123.6764679,2026-09-09 02:00:25.557,125.75757599,2026-09-09 02:00:25.557,114.67742157,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,0,2026-09-09 02:00:25.557,24.876848221,2026-09-09 08:00:23.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:45:23.123,58,2026-09-09 08:45:23.123,50,2026-09-09 08:45:23.123,0,2026-08-05 15:39:17.440
44128-0,FlexNet ID: 50409427,Yes,2024-12-06 11:13:03.490,Yes,2024-12-06 11:13:03.490,,,0,2024-12-06 11:13:03.490,Online,2024-12-06 11:13:03.490,Online,2024-12-06 11:13:03.490,,,Normal,2024-12-06 11:13:03.490,Normal,2024-12-06 11:13:03.490,Fuse Blown,2024-12-06 11:13:03.490,,,,,,,,,,,,,,,,,,,,,Alarm,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,50409427,2024-12-06 11:13:03.490,4100004,2024-12-06 11:13:03.490,36.800003052,2024-12-06 11:13:03.490,38.700012207,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,12,2024-12-06 11:13:03.490,36,2024-12-06 11:13:03.490,7,2024-12-06 11:13:03.490,7,2024-12-06 11:13:03.490,20,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,10,2024-12-06 11:13:03.490,30,2024-12-06 11:13:03.490,,,,,,,100,2024-12-06 11:13:03.490,100,2024-12-06 11:13:03.490,,,,,,,,,,,129.54545593,2024-12-06 11:13:03.490,131.06060791,2024-12-06 11:13:03.490,119.48275757,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,0,2024-12-06 11:13:03.490,7.8817734718,2024-12-06 11:13:03.490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2024-12-06 10:56:58.399,41,2024-12-06 10:56:58.399,40,2024-12-06 10:56:58.399,2,2024-12-06 11:13:03.490
44433-0,FlexNet ID: 50409481,Yes,2026-09-08 13:32:06.230,Yes,2026-09-08 13:32:06.230,,,,,Online,2026-09-08 13:32:06.230,Online,2026-09-08 13:32:06.230,,,Normal,2026-09-08 13:32:06.230,Normal,2026-09-08 13:32:06.230,Normal,2026-09-08 13:32:06.230,,,,,,,,,,,,,,,,,,,,,Normal,2026-05-05 21:21:43.964,0,2026-05-05 21:21:57.394,50409481,2026-05-05 21:21:57.394,4110005,2026-05-05 21:21:57.394,31.5,2026-09-08 13:32:06.230,31.399999619,2026-09-08 13:32:06.230,0,2026-09-08 13:32:06.230,0,2026-09-08 13:32:06.230,38,2026-09-08 13:32:06.230,32,2026-09-08 13:32:06.230,11,2026-09-08 13:32:06.230,11,2026-09-08 13:32:06.230,21,2026-09-08 13:32:06.230,0,2026-09-08 13:32:06.230,0,2026-09-08 13:32:06.230,17,2026-09-08 13:32:06.230,31,2026-09-08 13:32:06.230,,,,,,,100,2026-09-08 13:32:06.230,100,2026-09-08 13:32:06.230,,,,,,,,,,,125.75757599,2026-09-08 13:32:06.230,135.16667175,2026-09-08 13:32:06.230,0,2026-09-08 13:32:06.230,1,2026-09-08 13:32:06.230,9,2026-09-08 13:32:06.230,11.477186203,2026-09-08 13:32:06.230,23.645320892,2026-09-09 07:32:06.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:47:06.664,24,2026-09-09 08:47:06.664,30,2026-09-09 08:47:06.664,0,2026-05-05 21:21:43.964
44432-0,FlexNet ID: 50409541,Yes,2025-08-13 18:25:29.516,Yes,2025-08-13 18:25:29.516,,,,,Online,2025-08-13 18:25:29.516,Online,2025-08-13 18:25:29.516,,,Normal,2025-08-13 18:25:29.516,Normal,2025-08-13 18:25:29.516,Fuse Blown,2025-08-13 18:25:29.516,,,,,,,,,,,,,,,,,,,,,Alarm,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,50409541,2025-08-13 18:25:29.516,4110005,2025-08-13 18:25:29.516,25.599998474,2025-08-13 18:25:29.516,20.699998856,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,27,2025-08-13 18:25:29.516,23,2025-08-13 18:25:29.516,25,2025-08-13 18:25:29.516,25,2025-08-13 18:25:29.516,37,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,37,2025-08-13 18:25:29.516,53,2025-08-13 18:25:29.516,,,,,,,100,2025-08-13 18:25:29.516,100,2025-08-13 18:25:29.516,,,,,,,,,,,126.51515198,2025-08-13 18:25:29.516,131.66667175,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,0,2025-08-13 18:25:29.516,1,2025-08-13 18:25:29.516,11.491881371,2025-08-13 18:25:29.516,41.871921539,2025-08-13 18:25:29.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025-08-13 18:04:17.155,24,2025-08-13 18:04:17.155,25,2025-08-13 18:04:17.155,2,2025-08-13 18:25:29.516
47247-0,FlexNet ID: 50530601,Yes,2026-09-09 03:56:29.900,Yes,2026-09-09 03:56:29.900,,,,,Online,2026-09-09 03:56:29.900,Online,2026-09-09 03:56:29.900,,,Normal,2026-09-09 03:56:29.900,Normal,2026-09-09 03:56:29.900,Normal,2026-09-09 03:56:29.900,,,,,,,,,,,,,,,,,,,,,Normal,2026-02-02 20:30:36.400,0,2026-02-02 20:30:46.411,50530601,2026-02-02 20:30:46.411,4110005,2026-02-02 20:30:46.411,53.099998474,2026-09-09 03:56:29.900,59.300003052,2026-09-09 03:56:29.900,0,2026-09-09 03:56:29.900,0,2026-09-09 03:56:29.900,63,2026-09-09 03:56:29.900,60,2026-09-09 03:56:29.900,3,2026-09-09 03:56:29.900,3,2026-09-09 03:56:29.900,23,2026-09-09 03:56:29.900,0,2026-09-09 03:56:29.900,0,2026-09-09 03:56:29.900,4,2026-09-09 03:56:29.900,33,2026-09-09 03:56:29.900,,,,,,,100,2026-09-09 03:56:29.900,100,2026-09-09 03:56:29.900,,,,,,,,,,,127.72727203,2026-09-09 03:56:29.900,155,2026-09-09 03:56:29.900,0,2026-09-09 03:56:29.900,1,2026-09-09 03:56:29.900,1,2026-09-09 03:56:29.900,9.552075386,2026-09-09 03:56:29.900,25.123151779,2026-09-09 03:56:29.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-09-09 08:56:34.815,61,2026-09-09 08:56:34.815,48,2026-09-09 08:56:34.815,0,2026-02-02 20:30:36.400
47238-0,FlexNet ID: 50530605,Yes,2023-10-31 12:16:51.862,Yes,2023-10-31 12:16:51.862,,,,,Online,2023-10-31 12:16:51.862,Online,2023-10-31 12:16:51.862,,,Normal,2023-10-31 12:16:51.862,Normal,2023-10-31 12:16:51.862,Fuse Blown,2023-10-31 12:16:51.862,,,,,,,,,,,,,,,,,,,,,Alarm,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,50530605,2023-10-31 12:16:51.862,2080,2023-10-31 12:16:51.862,26.222223282,2023-10-31 12:16:51.862,29.5,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,28,2023-10-31 12:16:51.862,31,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,1,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,,,,,,,100,2023-10-31 12:16:51.862,100,2023-10-31 12:16:51.862,,,,,,,,,,,130.15151978,2023-10-31 12:16:51.862,131.21212769,2023-10-31 12:16:51.862,124.70587921,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,0,2023-10-31 12:16:51.862,14.778325081,2023-10-31 12:16:51.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023-10-31 12:00:44.426,31,2023-10-31 12:00:44.426,28,2023-10-31 12:00:44.426,2,2023-10-31 12:16:51.862
